               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.052911,            0.020662,                   0,             0.84961,             0.90643,             0.90269,             0.56711,            0.020849,           0.0047894,                   0,            0.070041,           0.0033288,           0.0033288
                   1,            0.030814,            0.016391,                   0,             0.93749,             0.95393,             0.97672,             0.72534,            0.014407,           0.0039292,                   0,            0.039909,           0.0065302,           0.0065302
                   2,             0.02708,            0.015086,                   0,             0.77785,             0.81072,               0.771,             0.41367,            0.020325,           0.0046465,                   0,            0.009645,           0.0095996,           0.0095996
                   3,            0.024318,            0.014849,                   0,             0.73204,             0.76706,             0.77853,             0.40474,            0.022069,           0.0047558,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.022148,            0.014188,                   0,             0.85853,             0.87053,             0.88958,             0.55139,            0.018941,           0.0041061,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.020966,            0.013837,                   0,             0.91313,             0.92494,             0.94097,             0.59605,            0.016741,           0.0039717,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.020199,            0.013579,                   0,             0.94746,             0.94718,             0.97834,             0.68389,             0.01377,           0.0034187,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.019684,            0.013294,                   0,               0.934,             0.93963,             0.96598,             0.66089,            0.015218,           0.0035561,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.019266,            0.013145,                   0,             0.94098,             0.94837,             0.97868,             0.70151,            0.014878,           0.0035352,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.018738,            0.013002,                   0,             0.97122,             0.97835,             0.99034,             0.78209,            0.011809,           0.0030985,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.018531,            0.012873,                   0,             0.97006,             0.97805,              0.9903,             0.77107,            0.012123,           0.0030583,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.018243,            0.012708,                   0,               0.946,             0.96019,             0.97818,             0.72388,            0.012704,           0.0033296,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.018189,            0.012726,                   0,             0.98055,             0.98082,             0.99114,             0.77563,               0.011,           0.0029123,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.017786,            0.012482,                   0,              0.9794,             0.98206,             0.99162,             0.80574,            0.010634,           0.0029407,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.017619,            0.012554,                   0,             0.96955,             0.97975,             0.99063,             0.76875,            0.011649,           0.0030987,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.017504,            0.012488,                   0,              0.9527,             0.96108,              0.9818,             0.71344,             0.01411,           0.0033314,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.017193,            0.012389,                   0,             0.96248,             0.96227,             0.98356,             0.73818,            0.011893,           0.0030327,                   0,             0.00703,             0.00703,             0.00703
                  17,             0.01704,            0.012376,                   0,             0.96036,             0.97167,             0.98383,             0.76384,            0.011521,           0.0033044,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.016924,            0.012213,                   0,             0.97347,              0.9865,             0.99264,             0.78704,            0.011383,           0.0028604,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.016835,            0.012241,                   0,              0.9621,             0.96784,             0.98846,             0.78558,            0.012446,           0.0029073,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.016637,            0.012178,                   0,             0.97315,             0.97888,             0.99045,             0.78886,            0.011143,           0.0027425,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.016583,            0.012061,                   0,             0.97758,             0.98724,             0.99027,             0.79237,            0.010697,           0.0027739,                   0,             0.00604,             0.00604,             0.00604
                  22,             0.01637,            0.012115,                   0,             0.97515,             0.97975,             0.98974,             0.79608,            0.010758,           0.0028027,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.016292,            0.012015,                   0,             0.98502,             0.98531,             0.99334,             0.82358,           0.0096539,           0.0025322,                   0,            0.005644,            0.005644,            0.005644
                  24,             0.01632,             0.01201,                   0,              0.9791,             0.98607,             0.99185,              0.8118,           0.0099352,           0.0025936,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.016082,            0.011904,                   0,             0.98734,             0.99117,             0.99338,             0.81717,           0.0099496,           0.0027523,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.015997,            0.011902,                   0,             0.98492,             0.99087,             0.99331,             0.82655,           0.0094237,           0.0026917,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.015791,            0.011866,                   0,             0.98684,             0.98531,             0.99272,             0.82955,           0.0091483,           0.0026411,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.015658,            0.011841,                   0,             0.98717,             0.98809,             0.99316,             0.83539,            0.008881,           0.0025383,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.015525,            0.011665,                   0,             0.98448,             0.99007,             0.99341,             0.83855,            0.008743,           0.0024215,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.015454,            0.011667,                   0,             0.98463,             0.99242,             0.99364,             0.84724,           0.0085299,           0.0023339,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.015486,            0.011703,                   0,             0.98831,             0.99285,             0.99388,             0.83739,            0.008678,           0.0023408,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.015215,            0.011597,                   0,             0.98576,             0.98972,             0.99334,             0.83297,           0.0088671,           0.0023832,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.015104,            0.011572,                   0,             0.98532,             0.98632,             0.99333,             0.82911,           0.0091165,            0.002484,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.015203,            0.011485,                   0,             0.98694,             0.99008,             0.99363,             0.82942,           0.0090626,           0.0024559,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.014962,            0.011519,                   0,             0.98733,             0.99041,             0.99312,             0.83549,           0.0089129,           0.0023494,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.014863,            0.011451,                   0,             0.98258,             0.99007,             0.99297,             0.83303,           0.0089623,           0.0024858,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.014806,            0.011351,                   0,             0.98612,             0.99007,             0.99253,             0.84233,           0.0084541,           0.0024672,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.014805,            0.011321,                   0,             0.98944,             0.98967,             0.99328,             0.84016,           0.0084653,           0.0024036,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.014501,            0.011231,                   0,             0.98264,             0.98889,             0.99255,             0.84051,           0.0086947,           0.0023945,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.014505,            0.011189,                   0,             0.98494,             0.98685,             0.99263,              0.8374,            0.008844,           0.0024308,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.014379,            0.011152,                   0,             0.98756,             0.98848,             0.99331,             0.84537,           0.0086401,           0.0023108,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.014231,            0.011203,                   0,             0.98734,             0.99096,             0.99305,             0.84491,           0.0084448,           0.0022765,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.014103,            0.011053,                   0,             0.98855,             0.99126,             0.99334,             0.84471,            0.008326,           0.0023181,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.013881,            0.011047,                   0,              0.9873,             0.98815,             0.99248,             0.84457,            0.008373,           0.0023756,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.013979,             0.01103,                   0,              0.9881,             0.99047,              0.9932,             0.84535,           0.0083163,           0.0022836,                   0,            0.001288,            0.001288,            0.001288
